Clase,Promedio_Tiempo(s),Promedio_Memoria(KB)
Programa001,.0629,54252
Programa002,.0642,53982
Programa003,.0610,54669
Programa004,.0634,55961
Programa005,.0604,54308
Programa006,.0599,54478
Programa007,.0599,54221
Programa008,.0641,56025
Programa009,.0603,54016
Programa010,.0597,54427
Programa011,.0606,54646
Programa012,.0623,55971
Programa013,.0601,54310
Programa014,.0608,54600
Programa015,.0604,54283
Programa016,.0636,55939
Programa017,.0595,54141
Programa018,.0609,54623
Programa019,.0603,54417
Programa020,.0633,56014
Programa021,.0604,54543
Programa022,.0607,54766
Programa023,.0609,54623
Programa024,.0643,56006
Programa025,.0590,54503
Programa026,.0609,54765
Programa027,.0616,54843
Programa028,.0639,55961
Programa029,.0623,54640
Programa030,.0628,54806
Programa031,.0598,54598
Programa032,.0628,55945
Programa033,.0612,54349
Programa034,.0614,54441
Programa035,.0599,54711
Programa036,.0647,56112
Programa037,.0626,54706
Programa038,.0614,54350
Programa039,.0607,54852
Programa040,.0641,56014
Programa041,.0620,54388
Programa042,.0658,54699
Programa043,.0597,54621
Programa044,.0621,55916
Programa045,.0598,54459
Programa046,.0614,54601
Programa047,.0626,54244
Programa048,.0660,56146
Programa049,.0616,54489
Programa050,.0602,54169
Programa051,.0620,54856
Programa052,.0637,55882
Programa053,.0597,54734
Programa054,.0619,54832
Programa055,.0610,54873
Programa056,.0639,56032
Programa057,.0604,53999
Programa058,.0604,54939
Programa059,.0607,54619
Programa060,.0642,56101
Programa061,.0611,55040
Programa062,.0610,54566
Programa063,.0626,54218
Programa064,.0628,56092
Programa065,.0602,54185
Programa066,.0602,54761
Programa067,.0604,54596
Programa068,.0653,55961
Programa069,.0687,54377
Programa070,.0633,54444
Programa071,.0595,54747
Programa072,.0650,55948
Programa073,.0624,54992
Programa074,.0612,54294
Programa075,.0605,54652
Programa076,.0683,55766
Programa077,.0607,54744
Programa078,.0612,54629
Programa079,.0624,54589
Programa080,.0644,56011
Programa081,.0607,54292
Programa082,.0595,54353
Programa083,.0607,54732
Programa084,.0648,55871
Programa085,.0615,54767
Programa086,.0621,54491
Programa087,.0595,54626
Programa088,.0642,56029
Programa089,.0606,54868
Programa090,.0634,54704
Programa091,.0622,54639
Programa092,.0623,55994
Programa093,.0595,54374
Programa094,.0604,54589
Programa095,.0602,54638
Programa096,.0658,55976
Programa097,.0601,54582
Programa098,.0605,54504
Programa099,.0600,54780
Programa100,.0645,55936
