Iteración,Tiempo(s),Memoria(KB)
1,0.06,55788
2,0.06,55920
3,0.08,55788
4,0.07,55548
5,0.07,56444
6,0.06,55556
7,0.06,56308
8,0.06,56324
9,0.07,56056
10,0.06,55784
11,0.06,56044
12,0.06,56556
13,0.06,56432
14,0.06,56812
15,0.07,55792
16,0.06,56040
17,0.06,55756
18,0.08,55932
19,0.07,56444
20,0.06,56176
21,0.08,56956
22,0.07,56048
23,0.07,55660
24,0.08,56060
25,0.07,55532
26,0.07,56052
27,0.06,56304
28,0.06,55292
29,0.07,55932
30,0.06,53864
31,0.06,56784
32,0.07,55920
33,0.07,55804
34,0.06,56304
35,0.07,55932
36,0.06,56664
37,0.07,56188
38,0.08,55804
39,0.07,55956
40,0.06,55660
41,0.06,56296
42,0.07,55920
43,0.06,56564
44,0.07,56176
45,0.05,55632
46,0.06,56044
47,0.06,56456
48,0.07,56444
49,0.06,56316
50,0.06,56324
51,0.07,56280
52,0.06,56700
53,0.06,53232
54,0.06,55684
55,0.06,56324
56,0.06,56556
57,0.07,56060
58,0.07,56176
59,0.05,55804
60,0.08,56184
61,0.06,56564
62,0.07,56296
63,0.06,56052
64,0.06,56536
65,0.07,56956
66,0.06,56684
67,0.07,56304
68,0.06,56188
69,0.06,53496
70,0.06,56560
71,0.08,57196
72,0.05,55504
73,0.10,55556
74,0.06,56040
75,0.06,55448
76,0.07,56316
77,0.07,56204
78,0.07,55928
79,0.06,56084
80,0.07,56060
81,0.07,55784
82,0.05,55532
83,0.06,55932
84,0.07,56556
85,0.07,55784
86,0.07,53612
87,0.07,55836
88,0.06,56316
89,0.06,56424
90,0.06,53608
91,0.05,55660
92,0.06,56060
93,0.05,55568
94,0.06,55280
95,0.08,56432
96,0.06,53612
97,0.08,55980
98,0.06,55660
99,0.06,56048
100,0.07,55820
