Clase,Promedio_Tiempo(s),Promedio_Memoria(KB)
Programa001,.0631,53740
Programa002,.0599,54846
Programa003,.0618,54910
Programa004,.0645,55976
Programa005,.0598,53640
Programa006,.0597,54788
Programa007,.0607,54564
Programa008,.0645,56111
Programa009,.0595,54045
Programa010,.0618,54898
Programa011,.0608,55164
Programa012,.0660,56172
Programa013,.0614,54588
Programa014,.0613,54366
Programa015,.0597,54783
Programa016,.0640,55988
Programa017,.0597,53372
Programa018,.0610,54585
Programa019,.0599,54587
Programa020,.0643,56037
Programa021,.0599,54493
Programa022,.0609,54518
Programa023,.0605,54751
Programa024,.0655,56155
Programa025,.0592,54966
Programa026,.0617,54434
Programa027,.0614,54608
Programa028,.0670,56103
Programa029,.0608,54424
Programa030,.0611,54240
Programa031,.0622,54603
Programa032,.0670,56103
Programa033,.0630,54342
Programa034,.0615,54462
Programa035,.0603,54833
Programa036,.0648,56028
Programa037,.0596,54564
Programa038,.0622,54791
Programa039,.0611,54706
Programa040,.0642,56025
Programa041,.0607,54477
Programa042,.0644,54294
Programa043,.0667,54316
Programa044,.0669,56089
Programa045,.0601,54079
Programa046,.0590,54129
Programa047,.0615,54733
Programa048,.0653,56143
Programa049,.0612,54148
Programa050,.0607,54587
Programa051,.0601,54709
Programa052,.0660,55965
Programa053,.0610,54766
Programa054,.0608,54532
Programa055,.0614,54920
Programa056,.0671,56029
Programa057,.0601,54716
Programa058,.0604,54779
Programa059,.0604,54675
Programa060,.0647,55928
Programa061,.0606,54522
Programa062,.0595,54798
Programa063,.0605,54854
Programa064,.0654,56119
Programa065,.0634,54319
Programa066,.0602,54173
Programa067,.0608,54588
Programa068,.0655,55955
Programa069,.0599,54580
Programa070,.0609,54422
Programa071,.0620,54921
Programa072,.0683,55997
Programa073,.0610,54923
Programa074,.0615,54450
Programa075,.0613,55039
Programa076,.0658,56010
Programa077,.0604,54218
Programa078,.0611,54454
Programa079,.0601,54542
Programa080,.0666,56159
Programa081,.0625,54545
Programa082,.0629,54148
Programa083,.0590,54947
Programa084,.0684,56085
Programa085,.0613,53971
Programa086,.0602,54442
Programa087,.0598,54886
Programa088,.0651,56060
Programa089,.0592,54683
Programa090,.0599,54594
Programa091,.0599,54766
Programa092,.0646,56038
Programa093,.0607,54248
Programa094,.0606,54709
Programa095,.0607,54675
Programa096,.0641,56097
Programa097,.0591,54272
Programa098,.0592,54736
Programa099,.0593,54140
Programa100,.0654,56086
