Iteración,Tiempo(s),Memoria(KB)
1,0.06,55804
2,0.06,53360
3,0.06,53236
4,0.06,40176
5,0.06,53552
6,0.06,55528
7,0.07,56004
8,0.06,55912
9,0.05,55664
10,0.06,56304
11,0.06,55800
12,0.06,55664
13,0.07,55664
14,0.07,56060
15,0.07,55928
16,0.07,55804
17,0.08,56016
18,0.07,55920
19,0.07,56088
20,0.06,53100
21,0.07,56040
22,0.06,55656
23,0.06,53372
24,0.06,55792
25,0.05,55672
26,0.06,56176
27,0.05,55664
28,0.05,55548
29,0.06,53244
30,0.07,55920
31,0.06,55536
32,0.05,55524
33,0.06,55676
34,0.06,55548
35,0.06,56296
36,0.06,55280
37,0.06,55664
38,0.06,55804
39,0.06,53368
40,0.06,53380
41,0.06,56176
42,0.05,55548
43,0.07,55664
44,0.09,55984
45,0.07,56568
46,0.07,53488
47,0.05,55544
48,0.05,56044
49,0.05,53488
50,0.06,55868
51,0.05,55656
52,0.05,53232
53,0.06,53440
54,0.07,53240
55,0.06,55532
56,0.08,55804
57,0.05,55400
58,0.05,53372
59,0.05,55300
60,0.05,53372
61,0.06,55792
62,0.06,55780
63,0.05,55404
64,0.05,53484
65,0.05,55420
66,0.05,55788
67,0.07,55404
68,0.05,55292
69,0.06,56176
70,0.05,56044
71,0.06,53220
72,0.07,55916
73,0.07,55292
74,0.05,53744
75,0.05,55428
76,0.07,55912
77,0.06,55528
78,0.06,53372
79,0.07,56176
80,0.05,53240
81,0.06,53756
82,0.05,55468
83,0.06,55920
84,0.06,56300
85,0.06,53356
86,0.06,55920
87,0.06,55748
88,0.05,55920
89,0.05,55544
90,0.05,55404
91,0.05,53488
92,0.06,39916
93,0.06,56060
94,0.06,55952
95,0.06,55668
96,0.06,53364
97,0.06,53356
98,0.06,53628
99,0.05,53488
100,0.06,53752
