Archivo,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
SpelReproTests.java,23,218,437,813,241,1250,9573.377157279598,32.813793103448276,260367.8634495614,14464.881302753412,1.37196930660374,18,0
CacheNamespaceHandler.java,7,28,17,40,35,57,238.13244293319676,5.0701754385964914,621.3530563110592,34.51961423950329,0.029904353751585313,3,0
AbstractSockJsIntegrationTests.java,13,116,131,284,129,415,2909.65931100065,15.913793103448274,46303.7162767862,2572.428682043678,0.4298226632912761,15,0
SpringRunnerContextCacheTests.java,3,20,14,45,23,59,227.65148445440323,3.2857142857142856,589.2543136557731,32.736350758654055,0.024696643523308,2,0
MetaAnnotationUtils.java,27,79,159,256,106,415,2292.6137999400808,38.77443724946038,40076.840899239854,2226.4911610688805,0.48642665808218905,21,0
WebTestClient.java,18,154,194,365,172,559,3850.820539588766,15.506716417910447,33323.483791476574,1851.3046550820318,0.3701948035739639,33,0
TestAnnotationUtils.java,6,23,18,31,29,49,189.04878301959548,4.045454545454545,382.25104413598103,21.236169118665615,0.022118941833767863,5,0
RSocketRequester.java,6,48,48,119,54,167,961.0662128612992,7.4375,7147.929958155913,397.1072198975507,0.12368933960813214,21,0
SharedEntityManagerCreator.java,36,153,347,496,189,843,5658.323543793838,48.337784679089026,182848.24739200508,10158.235966222504,1.1367862873137495,60,0
MimeTypeUtils.java,36,128,236,352,164,588,3409.0416981006274,46.45161787365177,65971.66435929519,3665.092464405288,0.6880295107482872,41,0
GenericCollectionTypeResolver.java,3,6,7,15,9,22,69.73835003173087,3.75,261.51881261899075,14.528822923277264,0.013631616800472117,2,0
DefaultConversionTests.java,11,29,35,74,40,109,481.042112555529,12.6,2873.0358303109624,159.61310168394235,0.08348774269359577,2,0
Response.java,32,111,104,213,143,317,1655.7028899870502,24.62025406287701,8822.420847428535,490.1344915238075,0.19601007582872948,11,0
ShallowEtagHeaderFilter.java,7,29,19,56,36,75,337.59701265360627,7.196428571428572,1992.2978634064934,110.68321463369408,0.05511276507167865,3,0
TestPropertySourceUtils.java,58,228,295,494,286,789,4434.9599572563,63.14912868139612,61481.08591714229,3415.615884285683,0.7998021785111602,61,0
BeanNamePointcutMatchingTests.java,4,11,7,19,15,26,101.57915548582149,3.4545454545454546,350.9098098601106,19.49498943667281,0.016583483060234536,1,0
UriComponentsBuilder.java,31,165,378,726,196,1104,7363.711600493711,55.64583333333333,216326.54546932149,12018.141414962305,1.3535184291293962,53,0
HandlerMethodValidator.java,9,43,31,72,52,103,587.1452909685324,7.534883720930233,4424.07149473964,245.78174970775777,0.08983112455067215,7,0
MockServerHttpRequest.java,21,131,188,406,152,594,3636.4683618566096,26.4328165374677,51507.22019522326,2861.512233067959,0.5200035909538788,6,0
MethodValidationInterceptor.java,11,31,57,73,42,130,701.0012649612389,12.951612903225808,9079.097028449596,504.3942793583109,0.14506874375880158,9,0
TestPropertySourceUtilsTests.java,7,58,61,146,65,207,1246.63013729689,8.810344827586206,10983.241382046737,610.1800767803743,0.1647020851764003,1,0
TestBeanCreator.java,8,13,10,25,21,35,119.2481250360578,7.75,459.0676876406254,25.50376042447919,0.024910124438053183,2,0
TestContextAotGeneratorTests.java,23,207,356,550,230,906,5608.489379055043,24.3068144499179,46942.3833960827,2607.9101886712606,0.5723201903614372,9,0
ScenariosForSpringSecurityExpressionTests.java,6,21,12,24,27,36,171.17595007788486,3.4285714285714284,586.8889716956052,32.60494287197807,0.023365910620090014,2,0
HintUtils.java,2,8,3,13,10,16,53.150849518197795,1.625,86.37013046707142,4.798340581503968,0.006513100741703149,3,0
TypeDescriptor.java,51,94,85,167,145,252,1008.3689351268724,44.86923076923077,5566.806328838854,309.2670182688252,0.20549817156748856,43,0
JdbcTestUtils.java,30,100,87,214,130,301,1409.1350852404366,29.48211437685122,9529.867420014296,529.4370788896831,0.22817867672413453,27,0
Jackson2ObjectMapperBuilderTests.java,15,245,506,933,260,1439,11418.233370057567,26.405462184873947,287613.28419450653,15978.515788583694,1.4561496769473674,4,0
RequestPredicates.java,85,318,439,863,403,1302,7915.742079602841,89.0735994397759,197684.81793962512,10982.48988553473,1.4397423002691125,53,0
ExtendedBeanInfoTests.java,0,3,0,3,3,3,4.754887502163468,0.0,0.0,0.0,0,1,0
Jaxb2XmlDecoderTests.java,14,113,204,362,127,566,3638.405741594645,23.580524344569287,77430.58061502366,4301.69892305687,0.6145456538713842,5,0
SpelDocumentationTests.java,3,6,4,8,9,12,38.039100017307746,2.0,76.07820003461549,4.22656666858975,0.0059848356844364944,1,0
CachedIntrospectionResults.java,32,130,229,395,162,624,3798.8763946350555,46.40128418329638,87349.47167996338,4852.748426664632,0.797080315811932,51,0
ParameterizedDependencyInjectionTests.java,5,29,17,41,34,58,261.0474461086494,3.5166666666666666,713.4804128035287,39.63780071130715,0.02809247980163782,2,0
RSocketServerToClientIntegrationTests.java,15,133,202,327,148,529,3475.353124959031,17.840350877192982,49161.85542633018,2731.2141903516763,0.46571796603496274,4,0
AnnotationUtils.java,176,606,1071,1912,782,2983,17430.654714313077,257.4318191055598,453838.08471531817,25213.226928628792,3.92793359712144,293,0
StompBrokerRelayMessageHandlerIntegrationTests.java,38,166,243,475,204,718,4484.563310124414,45.95605413105413,104644.6083056443,5813.589350313572,0.8547094754263191,11,0
DefaultRequestPath.java,21,57,118,162,78,280,1476.1225817768238,29.87777777777778,22652.73844520508,1258.48546917806,0.3321791579638814,8,0
DomUtils.java,37,91,79,166,128,245,1103.9562801293139,33.813095238095244,8456.373612817448,469.7985340454138,0.2192961457145074,16,0
HttpStatusCode.java,10,10,16,18,20,34,146.94555522617034,9.0,1322.5099970355332,73.47277761308517,0.04016163526339613,2,0
ContentDispositionTests.java,7,31,68,129,38,197,1033.8417201483862,14.564516129032258,15057.404407967626,836.5224671093125,0.20325698931685118,1,0
HttpServerErrorException.java,6,43,51,338,49,389,1954.2310280879037,28.12807881773399,51382.33193949272,2854.573996638484,0.46538203500077063,13,0
FormTagTests.java,2,10,2,12,12,14,36.18947501009619,1.2,21.713685006057712,1.206315833669873,0.003268720344388722,2,0
HttpStatus.java,13,24,23,44,37,67,283.6926969111504,11.822222222222221,1655.8791027024422,91.99328348346901,0.05854770554056672,8,0
DefaultRSocketRequesterBuilder.java,17,100,138,221,117,359,2371.2301757658674,18.382488479262673,39788.588764479915,2210.4771535822174,0.39326897725792687,8,0
PathMatchingUrlHandlerMappingTests.java,7,51,245,600,58,845,4949.993940882799,41.1764705882353,203823.27991870348,11323.515551039083,1.1544663247198617,5,0
MockHttpServletRequestBuilder.java,3,17,12,42,20,54,233.38411712391758,3.7058823529411766,864.8940811062828,48.049671172571266,0.03025896218661758,2,0
SerializableTypeWrapper.java,28,123,253,474,151,727,4856.097348610474,46.697224344283164,174329.9160135937,9684.995334088537,1.0838256722212636,32,0
ControllerAdviceBean.java,2,14,11,19,16,30,120.0,1.3571428571428572,162.85714285714286,9.047619047619047,0.009940692035811561,1,0
EndpointHandshakeHandler.java,11,36,25,48,47,73,405.48498617246753,7.333333333333333,2973.556565264762,165.19758695915345,0.06892808532319919,3,0
ConcreteTransactionalJUnit38SpringContextTests.java,18,92,60,200,110,260,1518.6638163590158,16.604761904761904,15853.353501887546,880.7418612159747,0.22377460162350557,6,0
AnnotationConfigUtils.java,48,160,204,369,208,573,2919.0145121474916,52.84459501850806,35597.91130256116,1977.6617390311756,0.5411144033089992,35,0
BeanWrapperAutoGrowingTests.java,5,42,55,135,47,190,1055.371881818751,8.035714285714286,8480.666907472107,471.14816152622814,0.13862197513705285,1,0
AotIntegrationTests.java,20,63,60,91,83,151,792.3271202604114,14.472727272727273,5176.676281486856,287.59312674926974,0.121580980081447,6,0
DefaultServerWebExchange.java,15,147,237,478,162,715,5247.992752062506,24.387755102040817,127986.7620145856,7110.375667476978,0.8465555211769096,35,0
HandlerMappingIntrospector.java,14,81,114,262,95,376,2470.2657087324365,22.641975308641975,55931.6951829048,3107.3163990502667,0.4875106041200613,11,0
ContextLoaderUtils.java,7,16,15,30,23,45,203.5602880225656,6.5625,1335.8643901480868,74.21468834156038,0.04043154408038351,4,0
BodyExtractors.java,19,85,128,202,104,330,1959.9963086663033,19.4,23000.212523793416,1277.7895846551896,0.30652300717847797,4,0
BodyPopulators.java,8,49,77,113,57,190,1108.2491026913008,9.224489795918368,10223.032539111591,567.9462521728661,0.15701166078733597,1,0
RequestContextHolderTests.java,2,24,7,46,26,53,249.12330506147785,1.9166666666666667,477.4863347011659,26.527018594509215,0.020363513360818642,1,0
ConfigurationClassMethodVisitor.java,5,25,18,38,30,56,274.78587335407707,3.8,1044.1863187454928,58.01035104141627,0.034308158756206276,1,0
RestClient.java,17,146,173,403,163,576,3969.875513433121,17.284615384615385,45836.95216476903,2546.4973424871678,0.44095113214207926,73,0
DefaultResponses.java,17,95,133,219,112,352,2058.6885993159003,19.379919499105547,22746.576381898845,1263.698687883269,0.31865806674770336,3,0
DefaultServerRequestObservationConvention.java,3,14,9,18,17,27,110.36149671375915,1.9285714285714288,212.84002937653554,11.824446076474196,0.011882676816786375,3,0
MockClientHttpResponse.java,6,20,17,39,26,56,263.22462421590114,5.85,1539.8640516630217,85.54800287016786,0.04444951216179343,2,0
DispatcherApp.java,8,76,79,177,84,256,1636.4332602313627,9.31578947368421,15244.667740050063,846.9259855583368,0.2049387364042207,1,0
HttpHeaders.java,2,4,2,7,6,9,23.264662506490403,1.75,40.71315938635821,2.2618421881310113,0.003944893492189711,1,0
SockJsFrame.java,16,52,56,120,68,176,855.303389209219,16.926470588235293,8687.92312848738,482.6623960270767,0.15433745064495064,9,0
ViewResolutionResultHandler.java,17,222,448,790,239,1238,9781.273108280167,30.24774774774775,295861.4816310871,16436.74897950484,1.4800317445380973,34,0
CachedExpressionEvaluatorTests.java,3,4,3,7,7,10,28.07354922057604,2.625,73.69306670401211,4.0940592613340065,0.005859085449651798,1,0
