Archivo,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
SpelReproTests.java,23,218,437,813,241,1250,9573.377157279598,32.813793103448276,260367.8634495614,14464.881302753412,1.37196930660374,18,1
CacheNamespaceHandler.java,7,28,17,40,35,57,238.13244293319676,5.0701754385964914,621.3530563110592,34.51961423950329,0.029904353751585313,3,1
AbstractSockJsIntegrationTests.java,13,116,131,284,129,415,2909.65931100065,15.913793103448274,46303.7162767862,2572.428682043678,0.4298226632912761,15,1
SpringRunnerContextCacheTests.java,3,20,14,45,23,59,227.65148445440323,3.2857142857142856,589.2543136557731,32.736350758654055,0.024696643523308,2,1
MetaAnnotationUtils.java,27,72,150,236,99,386,2074.878296661069,39.606884057971016,37138.040985101405,2063.2244991723005,0.4654743961544212,21,1
WebTestClient.java,18,154,194,365,172,559,3850.820539588766,15.506716417910447,33323.483791476574,1851.3046550820318,0.3701948035739639,33,1
TestAnnotationUtils.java,8,28,23,37,36,60,251.9160564003252,5.280748663101605,706.2991381733109,39.23884100962838,0.032434894055058346,5,1
RSocketRequester.java,6,48,48,119,54,167,961.0662128612992,7.4375,7147.929958155913,397.1072198975507,0.12368933960813214,22,1
SharedEntityManagerCreator.java,36,153,377,538,189,915,6166.303879149924,51.624741200828154,219277.06326749758,12182.059070416532,1.2755053435928743,59,1
MimeTypeUtils.java,39,114,205,301,153,506,2808.8985902904415,47.551617873651765,57158.38803640423,3175.466002022457,0.6013761685870493,44,1
GenericCollectionTypeResolver.java,3,6,6,9,9,15,47.548875021634686,2.25,106.98496879867804,5.943609377704336,0.0075120866399800545,1,1
DefaultConversionTests.java,11,29,35,74,40,109,481.042112555529,12.6,2873.0358303109624,159.61310168394235,0.08348774269359577,2,1
Response.java,32,111,104,213,143,317,1655.7028899870502,24.62025406287701,8822.420847428535,490.1344915238075,0.19601007582872948,11,1
ShallowEtagHeaderFilter.java,7,30,19,56,37,75,340.9024601069368,6.8977272727272725,1923.553696254854,106.86409423638078,0.05388663460452488,2,1
TestPropertySourceUtils.java,58,229,303,499,287,802,4525.162774532694,63.38639141865887,63731.17226956012,3540.620681642229,0.8141439740193311,59,1
TxNamespaceHandler.java,4,13,7,18,17,25,102.18657103125848,2.769230769230769,282.97819670194656,15.72101092788592,0.014367484206461651,1,1
BeanNamePointcutMatchingTests.java,4,11,7,19,15,26,101.57915548582149,3.4545454545454546,350.9098098601106,19.49498943667281,0.016583483060234536,1,1
UriComponentsBuilder.java,30,151,359,718,181,1077,7021.8142330909695,56.63333333333333,211342.18297520297,11741.232387511276,1.3346307282089473,46,1
HandlerMethodValidator.java,12,40,30,69,52,99,467.8838098863945,10.25,2425.6868457666246,134.76038032036803,0.07512973503208012,8,1
MethodValidationInterceptor.java,11,30,57,75,41,132,707.196864609587,13.75,9723.956888381821,540.2198271323234,0.15185907904470655,9,1
TestPropertySourceUtilsTests.java,7,58,61,146,65,207,1246.63013729689,8.810344827586206,10983.241382046737,610.1800767803743,0.1647020851764003,1,1
TestBeanCreator.java,8,13,10,25,21,35,119.2481250360578,7.75,459.0676876406254,25.50376042447919,0.024910124438053183,2,1
AbstractEndpointConnectionManager.java,11,74,76,163,85,239,1531.8444337369108,12.114864864864865,18558.088308718114,1031.004906039895,0.23365096010184613,8,1
TestContextAotGeneratorTests.java,23,206,355,549,229,904,5589.599356757647,24.370275988379436,46910.592777941674,2606.1440432189816,0.5720960427444441,9,1
ScenariosForSpringSecurityExpressionTests.java,6,21,12,24,27,36,171.17595007788486,3.4285714285714284,586.8889716956052,32.60494287197807,0.023365910620090014,2,1
HintUtils.java,2,8,3,13,10,16,53.150849518197795,1.625,86.37013046707142,4.798340581503968,0.006513100741703149,3,1
TypeDescriptor.java,63,181,313,567,244,880,5142.985173897654,76.44190189566902,99179.32934192852,5509.962741218251,1.0059437215824107,101,1
HttpCookie.java,7,23,29,103,30,132,578.2319008255322,14.855555555555556,7201.556973039027,400.0864985021682,0.12852171973107357,5,1
JdbcTestUtils.java,30,102,88,228,132,316,1510.5849610108876,29.97487065779748,10924.39433056134,606.9107961422967,0.24361917111586226,27,1
Jackson2ObjectMapperBuilderTests.java,15,245,506,933,260,1439,11418.233370057567,26.405462184873947,287613.28419450653,15978.515788583694,1.4561496769473674,4,1
MethodValidationException.java,7,15,8,25,22,33,114.68730466487312,6.25,335.7095980313012,18.650533223961176,0.02027859663594896,3,1
RequestPredicates.java,84,317,438,862,401,1300,7883.794216617427,86.97713882163035,184626.5675758543,10257.031531991906,1.3882309659424834,53,1
