Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
SpelReproTests.java,run,14,203,428,795,217,1223,9492.377157279598,27.413793103448278,260222.0634495614,14456.78130275341,1.3586517614023557,15,1
SpelReproTests.java,from,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,1
SpelReproTests.java,from,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,1
SpelReproTests.java,from,3,5,3,6,8,9,27.0,1.7999999999999998,48.599999999999994,2.6999999999999997,0.004439181733794845,1,1
CacheNamespaceHandler.java,extractCacheManager,3,9,7,14,12,21,75.28421251514428,2.3333333333333335,175.66316253533665,9.75906458529648,0.010455204778755302,1,1
CacheNamespaceHandler.java,parseKeyGenerator,4,19,10,26,23,36,162.84823041805248,2.736842105263158,445.68989377572257,24.76054965420681,0.01944914897283001,2,1
AbstractSockJsIntegrationTests.java,awaitEvent,13,116,131,284,129,415,2909.65931100065,15.913793103448274,46303.7162767862,2572.428682043678,0.4298226632912761,15,1
SpringRunnerContextCacheTests.java,verifyInitialCacheState,1,6,1,6,7,7,19.651484454403228,0.5,9.825742227201614,0.5458745681778674,0.0015291696022456767,1,1
SpringRunnerContextCacheTests.java,verifyFinalCacheState,2,14,13,39,16,52,208.0,2.7857142857142856,579.4285714285714,32.19047619047619,0.02316747392106232,1,1
MetaAnnotationUtils.java,findAnnotationDescriptorForTypes,6,9,13,14,15,27,105.48604608143,4.666666666666667,492.2682150466734,27.348234169259634,0.020781645965528363,5,1
MetaAnnotationUtils.java,findAnnotationDescriptorForTypes,11,23,39,63,34,102,518.9212098075346,15.06521739130435,7817.660834709164,434.3144908171758,0.13129956739615914,7,1
MetaAnnotationUtils.java,assertNonEmptyAnnotationTypeArray,10,40,98,159,50,257,1450.471040772104,19.875,28828.11193534557,1601.561774185865,0.3133931827927337,9,1
WebTestClient.java,bindToController,6,10,10,12,16,22,88.0,3.5999999999999996,316.79999999999995,17.599999999999998,0.015490622145572777,1,1
WebTestClient.java,bindToRouterFunction,5,10,10,12,15,22,85.95159310338741,3.0,257.85477931016226,14.325265517231237,0.013503992939902846,1,1
WebTestClient.java,bindToServer,7,134,174,341,141,515,3676.8689464853787,8.906716417910447,32748.82901216641,1819.3793895648005,0.34120018848848827,31,1
TestAnnotationUtils.java,getTimeout,5,17,14,22,22,36,160.5395382709427,3.235294117647059,519.3926238177557,28.8551457676531,0.021538192972924263,3,1
TestAnnotationUtils.java,getRepeatCount,3,11,9,15,14,24,91.3765181293825,2.0454545454545454,186.90651435555512,10.383695241975284,0.010896701082134082,2,1
RSocketRequester.java,wrap,6,48,48,119,54,167,961.0662128612992,7.4375,7147.929958155913,397.1072198975507,0.12368933960813214,22,1
