Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
Programa038.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa074.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa002.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa081.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa050.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa017.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa001.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa036.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa034.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa094.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa009.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa010.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa043.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa016.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa027.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa096.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa059.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa093.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa078.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa091.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa055.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa089.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa007.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa003.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa029.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa049.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa039.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa054.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa057.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa082.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa068.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa076.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa080.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa041.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa004.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa097.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa100.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa058.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa098.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa079.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa031.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa037.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa005.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa040.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa064.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa048.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa067.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa006.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa042.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa012.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa090.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa071.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa028.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa013.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa014.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa035.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa044.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa060.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa053.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa066.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa015.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa065.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa099.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa047.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa025.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa018.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa011.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa086.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa063.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa087.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa095.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa062.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa051.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa085.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa092.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa056.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa026.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa022.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa084.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa073.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa088.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa021.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa030.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa024.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa052.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa075.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa061.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa020.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa070.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa023.java,main,5,9,18,19,14,37,140.87213211613135,5.277777777777778,743.4918083906932,41.305100466149625,0.027356647257030995,4,1
Programa045.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa069.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa046.java,main,4,8,16,15,12,31,111.13383752235583,3.75,416.75189070883437,23.152882817157465,0.018597895272827798,2,1
Programa072.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa033.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
Programa032.java,main,5,7,19,15,12,34,121.8887250245193,5.357142857142857,652.9753126313534,36.27640625729741,0.025088609198059827,3,1
Programa077.java,main,5,15,32,31,20,63,272.28146997790384,5.166666666666667,1406.7875948858366,78.15486638254647,0.041850221922485095,3,1
