Clase,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
Programa038,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa074,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa002,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa081,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa050,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa017,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa001,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa036,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa034,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa094,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa009,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa010,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa043,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa016,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa027,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa096,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa059,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa093,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa078,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa091,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa055,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa089,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa007,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa003,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa029,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa049,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa039,8,10,16,18,18,34,109.7262742772967,7.8,532.3576456637802,29.5754247590989,0.02515048170799793,5,0
Programa054,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa057,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa082,7,11,13,19,18,32,101.43760004615399,6.4,347.4237801580774,19.30132111989319,0.020065390827441618,3,0
Programa068,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa076,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa080,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
Programa041,10,15,20,27,25,47,180.14866228501222,9.1,1099.3406359950854,61.07447977750475,0.039621461068766656,4,0
Programa004,7,9,15,17,16,32,96.0,7.1,366.9,20.383333333333333,0.020722227893795356,3,0
