archivo,funcion,linea_inicio,complejidad_mccabe,lineas_codigo
../../../Code/Java/Refactored/Conversor.java,Conversor::main,3,3,14
../../../Code/Java/Refactored/Conversor.java,Conversor::convertirAFahrenheit,18,1,3
../../../Code/Java/Refactored/Conversor.java,Conversor::mostrarResultado,22,1,4
../../../Code/Java/Refactored/Suma.java,Suma::main,3,3,18
../../../Code/Java/Refactored/Suma.java,Suma::mostrarNumeros,22,1,4
../../../Code/Java/Refactored/Suma.java,Suma::sumar,27,1,3
../../../Code/Java/Refactored/Suma.java,Suma::mostrarResultado,31,1,3
../../../Code/Java/Refactored/Tareas.java,Tareas::main,7,1,10
../../../Code/Java/Refactored/Tareas.java,Tareas::mostrarMenu,18,1,3
../../../Code/Java/Refactored/Tareas.java,Tareas::leerTareas,22,3,14
../../../Code/Java/Refactored/Tareas.java,Tareas::mostrarTareas,37,2,6
../../../Code/Java/Refactored/Factorial.java,Factorial::main,3,1,7
../../../Code/Java/Refactored/Factorial.java,Factorial::obtenerNumero,11,1,6
../../../Code/Java/Refactored/Factorial.java,Factorial::mostrarNumero,18,1,3
../../../Code/Java/Refactored/Factorial.java,Factorial::calcularFactorial,22,2,7
../../../Code/Java/Refactored/Factorial.java,Factorial::mostrarResultado,30,1,3
../../../Code/Java/Refactored/Adivina.java,Adivina::main,5,1,6
../../../Code/Java/Refactored/Adivina.java,Adivina::generarNumeroSecreto,12,1,3
../../../Code/Java/Refactored/Adivina.java,Adivina::obtenerIntento,16,1,7
../../../Code/Java/Refactored/Adivina.java,Adivina::mostrarResultado,24,2,7
