Iteración,Tiempo(s),Memoria(KB)
1,0.06,55544
2,0.07,55804
3,0.07,55664
4,0.07,55932
5,0.06,56824
6,0.06,56656
7,0.05,56428
8,0.06,55668
9,0.07,57072
10,0.07,56324
11,0.06,56268
12,0.06,56060
13,0.07,56300
14,0.06,53756
15,0.05,55912
16,0.05,56308
17,0.07,56188
18,0.07,55664
19,0.07,58092
20,0.05,56048
21,0.06,56432
22,0.06,56428
23,0.06,56188
24,0.06,56700
25,0.06,55880
26,0.06,56428
27,0.05,56308
28,0.06,55684
29,0.07,55676
30,0.07,55980
31,0.07,56528
32,0.06,56956
33,0.05,55160
34,0.05,56056
35,0.06,56444
36,0.06,56904
37,0.05,56280
38,0.06,56188
39,0.05,56040
40,0.06,56428
41,0.06,56172
42,0.05,56048
43,0.06,55940
44,0.05,56440
45,0.06,56296
46,0.06,55796
47,0.07,57340
48,0.07,56196
49,0.06,55980
50,0.05,55800
51,0.06,56484
52,0.05,55644
53,0.05,56572
54,0.06,56908
55,0.05,55400
56,0.06,55548
57,0.06,56048
58,0.07,56300
59,0.06,56132
60,0.05,56180
61,0.05,56432
62,0.06,56172
63,0.06,56188
64,0.05,55792
65,0.05,56296
66,0.07,56060
67,0.05,55672
68,0.05,53488
69,0.06,56060
70,0.08,55656
71,0.07,55664
72,0.06,55916
73,0.05,56316
74,0.05,56300
75,0.05,56300
76,0.05,55440
77,0.05,55676
78,0.08,57548
79,0.07,56776
80,0.06,53616
81,0.05,56312
82,0.07,55672
83,0.08,56440
84,0.07,55912
85,0.07,55932
86,0.08,56304
87,0.06,56172
88,0.06,56316
89,0.05,55356
90,0.05,56424
91,0.05,55924
92,0.06,56668
93,0.06,56144
94,0.05,56316
95,0.05,55788
96,0.06,56068
97,0.06,55888
98,0.05,56172
99,0.07,56040
100,0.06,55916
