Clase,Promedio_Tiempo(s),Promedio_Memoria(KB)
Programa001,.1057,53972
Programa002,.0907,54244
Programa003,.1056,54378
Programa004,.1377,56142
Programa005,.1136,53876
Programa006,.1196,52140
Programa007,.0605,54537
Programa008,.0669,56190
Programa009,.0578,54541
Programa010,.0650,54231
Programa011,.1002,54229
Programa012,.1058,55936
Programa013,.1131,54281
Programa014,.1041,54248
Programa015,.0989,54836
Programa016,.1081,56028
Programa017,.0990,54138
Programa018,.0993,53974
Programa019,.0993,54453
Programa020,.0992,55995
Programa021,.0992,52985
Programa022,.0908,54030
Programa023,.1056,54501
Programa024,.1108,56102
Programa025,.1049,53456
Programa026,.1042,53511
Programa027,.1030,54347
Programa028,.1065,55741
Programa029,.0957,53829
Programa030,.1089,54317
Programa031,.1088,54704
Programa032,.1142,55991
Programa033,.1073,52878
Programa034,.1043,54124
Programa035,.1049,54581
Programa036,.1076,55910
Programa037,.1036,53697
Programa038,.1016,54138
Programa039,.0836,54363
Programa040,.1062,55908
Programa041,.1024,53454
Programa042,.0950,54334
Programa043,.0965,54536
Programa044,.0962,55952
Programa045,.0916,53964
Programa046,.0920,54154
Programa047,.1089,54232
Programa048,.0911,55855
Programa049,.0954,53871
Programa050,.1010,54061
Programa051,.0998,54408
Programa052,.1024,55972
Programa053,.0999,53862
Programa054,.1056,54524
Programa055,.1044,54128
Programa056,.1122,55925
Programa057,.0951,54259
Programa058,.1011,53977
Programa059,.0932,54577
Programa060,.1084,55971
Programa061,.0989,53879
Programa062,.1049,54232
Programa063,.0862,54413
Programa064,.1119,55875
Programa065,.0885,54479
Programa066,.1029,54208
Programa067,.1022,54766
Programa068,.1010,55942
Programa069,.0887,53984
Programa070,.0918,54558
Programa071,.0929,54562
Programa072,.1049,55895
Programa073,.0928,53900
Programa074,.0980,54595
Programa075,.0942,54715
Programa076,.0989,55978
Programa077,.0960,53600
Programa078,.0961,54315
Programa079,.0936,54583
Programa080,.1105,55915
Programa081,.0918,53702
Programa082,.1005,54347
Programa083,.1017,54657
Programa084,.1088,55988
Programa085,.0956,53330
Programa086,.0981,53673
Programa087,.1059,54561
Programa088,.1017,55847
Programa089,.0839,53880
Programa090,.1003,54117
Programa091,.1022,54568
Programa092,.1044,55871
Programa093,.0909,54403
Programa094,.0953,53636
Programa095,.1016,54624
Programa096,.1107,55992
Programa097,.1087,54081
Programa098,.1246,53287
Programa099,.1183,54398
Programa100,.1103,55921
