Iteración,Tiempo(s),Memoria(KB)
1,0.15,53484
2,0.13,56060
3,0.15,55804
4,0.09,53612
5,0.14,55932
6,0.15,56176
7,0.15,56184
8,0.11,53244
9,0.08,55532
10,0.12,53612
11,0.14,56060
12,0.13,53236
13,0.13,53232
14,0.08,55664
15,0.06,56060
16,0.05,55792
17,0.05,53500
18,0.06,56188
19,0.05,55676
20,0.05,53100
21,0.05,53232
22,0.05,56048
23,0.06,56176
24,0.05,53612
25,0.06,53360
26,0.07,56372
27,0.07,56188
28,0.14,55540
29,0.08,55912
30,0.08,53508
31,0.10,40296
32,0.13,53616
33,0.12,53484
34,0.08,40428
35,0.11,56044
36,0.07,55920
37,0.06,55708
38,0.06,53232
39,0.06,53360
40,0.06,53368
41,0.07,55536
42,0.09,53624
43,0.13,56040
44,0.16,55408
45,0.12,40444
46,0.08,56188
47,0.08,55784
48,0.09,53360
49,0.10,55148
50,0.12,55912
51,0.11,53480
52,0.12,53624
53,0.09,55932
54,0.08,53244
55,0.09,53500
56,0.11,53756
57,0.13,53208
58,0.12,40304
59,0.10,55792
60,0.06,55920
61,0.07,53500
62,0.06,56004
63,0.06,55660
64,0.07,55804
65,0.07,55660
66,0.09,55656
67,0.11,56688
68,0.11,53372
69,0.12,56300
70,0.12,55536
71,0.11,53360
72,0.08,55924
73,0.10,55932
74,0.13,55916
75,0.08,40552
76,0.12,56424
77,0.13,53100
78,0.12,53500
79,0.12,56304
80,0.12,53364
81,0.08,53628
82,0.07,53488
83,0.06,55824
84,0.07,56308
85,0.10,40556
86,0.08,53352
87,0.11,55548
88,0.12,56048
89,0.09,55536
90,0.12,53188
91,0.12,56188
92,0.08,53500
93,0.09,53724
94,0.09,40476
95,0.10,55536
96,0.10,53612
97,0.12,53464
98,0.09,55536
99,0.11,55924
100,0.10,53240
