Iteración,Tiempo(s),Memoria(KB)
1,0.10,55928
2,0.08,53544
3,0.07,55952
4,0.05,53200
5,0.05,55748
6,0.06,56048
7,0.06,53584
8,0.07,55468
9,0.08,53368
10,0.06,53356
11,0.06,53716
12,0.06,55920
13,0.06,56176
14,0.05,53228
15,0.05,55684
16,0.05,53356
17,0.06,55724
18,0.06,55376
19,0.07,53252
20,0.05,55788
21,0.06,53488
22,0.06,55832
23,0.05,53328
24,0.06,53504
25,0.06,55812
26,0.06,53748
27,0.07,53500
28,0.06,53108
29,0.06,53364
30,0.06,55804
31,0.06,53100
32,0.07,55776
33,0.06,56176
34,0.07,55812
35,0.05,53456
36,0.05,55676
37,0.05,53112
38,0.05,56152
39,0.06,53488
40,0.06,53232
41,0.06,52996
42,0.05,53208
43,0.05,52956
44,0.06,53648
45,0.06,53196
46,0.05,55536
47,0.06,53296
48,0.05,55788
49,0.05,53496
50,0.06,55940
51,0.06,55772
52,0.07,55364
53,0.06,56304
54,0.05,53636
55,0.07,55788
56,0.08,55912
57,0.06,53616
58,0.05,53756
59,0.05,53488
60,0.06,55916
61,0.05,53360
62,0.05,53224
63,0.05,40432
64,0.06,53360
65,0.05,53500
66,0.05,55676
67,0.06,53116
68,0.07,55576
69,0.06,55876
70,0.07,56176
71,0.10,55556
72,0.07,53360
73,0.05,40308
74,0.05,53228
75,0.06,56528
76,0.08,53464
77,0.06,53152
78,0.05,56432
79,0.06,55548
80,0.07,56108
81,0.07,53608
82,0.06,55804
83,0.05,55416
84,0.06,55924
85,0.09,53620
86,0.06,53612
87,0.05,55916
88,0.05,55788
89,0.05,55940
90,0.06,56300
91,0.06,53360
92,0.06,56144
93,0.06,53160
94,0.06,53372
95,0.07,56068
96,0.07,56044
97,0.08,53104
98,0.05,55668
99,0.07,55800
100,0.05,53488
