Iteración,Tiempo(s),Memoria(KB)
1,0.07,53244
2,0.09,55948
3,0.07,55684
4,0.06,55772
5,0.06,53480
6,0.06,56300
7,0.05,56068
8,0.09,53360
9,0.08,55968
10,0.07,55300
11,0.07,53356
12,0.06,56188
13,0.06,53456
14,0.06,55692
15,0.07,56060
16,0.05,53488
17,0.05,55660
18,0.05,53612
19,0.06,53240
20,0.06,56236
21,0.05,53616
22,0.06,55536
23,0.07,55420
24,0.05,53508
25,0.05,55800
26,0.05,53304
27,0.08,56060
28,0.07,53360
29,0.05,55236
30,0.06,53352
31,0.07,55812
32,0.09,55804
33,0.09,56060
34,0.07,53380
35,0.06,53372
36,0.06,56044
37,0.06,55632
38,0.05,55804
39,0.05,55920
40,0.07,55852
41,0.06,53296
42,0.07,56260
43,0.06,56040
44,0.05,55664
45,0.06,55788
46,0.08,55812
47,0.09,55992
48,0.07,53324
49,0.05,53492
50,0.05,53508
51,0.05,53580
52,0.06,53352
53,0.06,56296
54,0.05,55168
55,0.05,56024
56,0.07,56184
57,0.08,56044
58,0.08,55796
59,0.07,55964
60,0.05,56508
61,0.06,56196
62,0.06,53528
63,0.06,53572
64,0.05,53372
65,0.06,55532
66,0.05,55532
67,0.05,55804
68,0.07,55748
69,0.08,53628
70,0.06,40452
71,0.07,55916
72,0.06,55656
73,0.07,55940
74,0.06,55888
75,0.06,53124
76,0.05,55924
77,0.07,56088
78,0.06,53336
79,0.07,55960
80,0.06,55940
81,0.07,56052
82,0.06,53356
83,0.05,55932
84,0.05,55528
85,0.05,53232
86,0.06,56176
87,0.05,55824
88,0.06,56028
89,0.06,55952
90,0.05,56316
91,0.06,55796
92,0.06,53188
93,0.07,56428
94,0.07,56188
95,0.07,55884
96,0.09,53380
97,0.05,55928
98,0.06,53232
99,0.06,53496
100,0.05,55676
