Iteración,Tiempo(s),Memoria(KB)
1,0.08,56048
2,0.07,52848
3,0.06,53488
4,0.08,56060
5,0.07,56364
6,0.05,53100
7,0.05,52844
8,0.07,55932
9,0.08,55792
10,0.08,56268
11,0.07,55804
12,0.07,53420
13,0.06,55684
14,0.05,39888
15,0.07,55516
16,0.07,55404
17,0.06,55404
18,0.06,56176
19,0.06,56048
20,0.06,53420
21,0.06,53372
22,0.05,53372
23,0.05,53116
24,0.05,53448
25,0.06,55916
26,0.06,56184
27,0.05,39932
28,0.06,53236
29,0.07,55920
30,0.07,53224
31,0.08,55248
32,0.08,56304
33,0.08,55656
34,0.07,55400
35,0.09,53596
36,0.06,53244
37,0.06,55884
38,0.05,52844
39,0.05,53240
40,0.06,56052
41,0.06,56060
42,0.06,55876
43,0.06,55676
44,0.06,56060
45,0.07,55804
46,0.07,39892
47,0.07,56440
48,0.14,53240
49,0.12,55940
50,0.06,53444
51,0.06,56452
52,0.06,53116
53,0.06,39636
54,0.06,55664
55,0.06,55676
56,0.06,53492
57,0.06,40048
58,0.07,55660
59,0.06,55276
60,0.06,56172
61,0.06,53100
62,0.05,53372
63,0.06,56432
64,0.06,39920
65,0.06,56048
66,0.06,53500
67,0.06,56172
68,0.06,55540
69,0.06,53492
70,0.08,55760
71,0.07,55676
72,0.05,55620
73,0.06,56296
74,0.06,56048
75,0.06,53356
76,0.06,55828
77,0.06,55656
78,0.08,53352
79,0.07,55924
80,0.05,40184
81,0.06,53072
82,0.06,53628
83,0.05,55672
84,0.06,53360
85,0.09,56324
86,0.08,55928
87,0.08,55796
88,0.07,55812
89,0.05,53500
90,0.07,56172
91,0.07,55756
92,0.05,53488
93,0.05,55724
94,0.05,53508
95,0.07,56044
96,0.08,55676
97,0.06,53456
98,0.06,53372
99,0.05,40172
100,0.07,55932
