Iteración,Tiempo(s),Memoria(KB)
1,0.07,53488
2,0.06,56560
3,0.07,55928
4,0.08,56004
5,0.07,56108
6,0.06,56168
7,0.05,53488
8,0.07,55920
9,0.07,55536
10,0.06,55804
11,0.09,55292
12,0.06,55932
13,0.05,55288
14,0.06,56400
15,0.05,53480
16,0.05,53484
17,0.05,56344
18,0.06,56560
19,0.05,53356
20,0.06,53500
21,0.06,53272
22,0.06,56552
23,0.07,55972
24,0.07,55888
25,0.06,56184
26,0.05,55676
27,0.05,53360
28,0.06,56260
29,0.05,55792
30,0.05,55676
31,0.06,56044
32,0.06,56272
33,0.07,56572
34,0.06,56556
35,0.07,56208
36,0.06,55540
37,0.05,56056
38,0.05,53740
39,0.06,56188
40,0.05,55796
41,0.07,56424
42,0.05,55676
43,0.05,55552
44,0.05,55664
45,0.07,56044
46,0.06,55548
47,0.06,55792
48,0.07,55940
49,0.07,55672
50,0.07,56304
51,0.06,55164
52,0.06,53316
53,0.06,55928
54,0.06,56176
55,0.06,56304
56,0.06,53484
57,0.07,55932
58,0.08,55748
59,0.06,55204
60,0.07,55932
61,0.08,55172
62,0.06,55916
63,0.05,53228
64,0.07,55804
65,0.08,55428
66,0.06,55536
67,0.05,53488
68,0.07,56176
69,0.07,53508
70,0.05,55792
71,0.06,55388
72,0.06,53372
73,0.08,56428
74,0.06,56444
75,0.07,56444
76,0.05,53328
77,0.06,56516
78,0.06,55536
79,0.06,55404
80,0.06,53252
81,0.05,53232
82,0.06,53372
83,0.05,55800
84,0.06,56176
85,0.06,56172
86,0.08,55884
87,0.08,56184
88,0.07,56560
89,0.07,56172
90,0.07,53616
91,0.06,53500
92,0.08,56184
93,0.07,53356
94,0.05,53244
95,0.05,53364
96,0.06,53240
97,0.05,55676
98,0.06,55164
99,0.06,55404
100,0.08,56428
