Iteración,Tiempo(s),Memoria(KB)
1,0.06,56528
2,0.08,56068
3,0.05,55292
4,0.07,56432
5,0.07,56044
6,0.07,56188
7,0.08,55796
8,0.06,55800
9,0.07,55924
10,0.07,53492
11,0.08,55548
12,0.07,55284
13,0.07,55640
14,0.07,55684
15,0.08,55920
16,0.07,55796
17,0.06,56180
18,0.07,55676
19,0.07,55676
20,0.08,55844
21,0.06,55664
22,0.06,56560
23,0.06,55796
24,0.07,55544
25,0.08,56300
26,0.06,56492
27,0.06,55796
28,0.07,55656
29,0.06,56472
30,0.06,56304
31,0.06,56432
32,0.06,56052
33,0.07,55660
34,0.06,56172
35,0.07,56344
36,0.07,55416
37,0.08,56176
38,0.08,53756
39,0.07,53500
40,0.07,56440
41,0.07,56048
42,0.07,55932
43,0.07,56444
44,0.06,56400
45,0.05,56188
46,0.06,53488
47,0.05,55804
48,0.06,56428
49,0.05,56312
50,0.06,56316
51,0.05,56188
52,0.05,56176
53,0.05,56300
54,0.06,56316
55,0.06,56816
56,0.07,55796
57,0.07,56044
58,0.06,55668
59,0.06,55448
60,0.06,55920
61,0.06,56700
62,0.07,56044
63,0.08,56012
64,0.06,53996
65,0.05,56296
66,0.07,55916
67,0.07,53624
68,0.07,55792
69,0.10,55812
70,0.06,55920
71,0.05,56196
72,0.06,55416
73,0.07,56300
74,0.08,53872
75,0.07,56316
76,0.07,56560
77,0.07,55584
78,0.07,55420
79,0.06,56956
80,0.05,56060
81,0.06,56112
82,0.08,56700
83,0.07,56304
84,0.07,55920
85,0.08,56188
86,0.07,56572
87,0.07,56556
88,0.07,55792
89,0.07,56944
90,0.06,56008
91,0.06,55928
92,0.07,56572
93,0.05,55660
94,0.06,56272
95,0.06,56436
96,0.05,55444
97,0.06,56828
98,0.06,55796
99,0.05,56048
100,0.05,56316
