Iteración,Tiempo(s),Memoria(KB)
1,0.06,56428
2,0.05,53364
3,0.07,55792
4,0.05,53744
5,0.06,56048
6,0.05,40080
7,0.06,55660
8,0.06,55932
9,0.05,55320
10,0.06,53100
11,0.08,53484
12,0.05,53628
13,0.05,55536
14,0.05,55664
15,0.05,55532
16,0.06,53100
17,0.08,55928
18,0.05,55532
19,0.05,55548
20,0.06,53372
21,0.06,56044
22,0.06,55536
23,0.05,55660
24,0.05,40316
25,0.06,55664
26,0.07,55920
27,0.07,55796
28,0.08,53224
29,0.05,55536
30,0.05,40428
31,0.07,55800
32,0.07,53468
33,0.06,56172
34,0.05,53612
35,0.06,53488
36,0.07,55804
37,0.07,56060
38,0.07,55528
39,0.07,56176
40,0.08,55916
41,0.07,56560
42,0.07,55796
43,0.08,55544
44,0.05,40684
45,0.06,53244
46,0.05,55548
47,0.06,53328
48,0.06,53364
49,0.06,55528
50,0.07,55540
51,0.07,53244
52,0.08,55676
53,0.05,40300
54,0.06,55964
55,0.05,55676
56,0.05,55668
57,0.05,53356
58,0.05,56176
59,0.06,55804
60,0.07,55804
61,0.08,56044
62,0.08,53500
63,0.05,53488
64,0.07,56176
65,0.07,53500
66,0.06,53360
67,0.10,55956
68,0.07,56188
69,0.06,55920
70,0.07,55660
71,0.08,56040
72,0.06,53232
73,0.07,52996
74,0.06,55412
75,0.06,53356
76,0.05,53520
77,0.05,53360
78,0.07,55664
79,0.07,52988
80,0.06,53112
81,0.07,55916
82,0.08,40432
83,0.06,53244
84,0.06,55536
85,0.07,55404
86,0.07,53104
87,0.07,56260
88,0.07,55916
89,0.08,53456
90,0.06,53500
91,0.07,53164
92,0.07,56048
93,0.07,55676
94,0.07,55528
95,0.07,55660
96,0.05,53364
97,0.06,56060
98,0.06,55664
99,0.07,53216
100,0.07,55792
