Iteración,Tiempo(s),Memoria(KB)
1,0.08,58736
2,0.07,58232
3,0.08,57448
4,0.08,57460
5,0.08,58476
6,0.06,58108
7,0.06,58268
8,0.08,58604
9,0.09,58732
10,0.09,57836
11,0.09,58448
12,0.08,58360
13,0.08,57968
14,0.07,58480
15,0.08,58344
16,0.08,57724
17,0.08,58876
18,0.08,58864
19,0.08,59172
20,0.07,58512
21,0.07,57840
22,0.07,57640
23,0.07,57844
24,0.07,56908
25,0.06,58604
26,0.07,56432
27,0.07,58480
28,0.09,58224
29,0.09,57840
30,0.08,58092
31,0.09,59268
32,0.07,58092
33,0.08,58228
34,0.07,57836
35,0.07,57320
36,0.09,57972
37,0.08,57540
38,0.07,58620
39,0.08,57820
40,0.07,57712
41,0.07,58604
42,0.09,58372
43,0.08,58608
44,0.07,57596
45,0.06,58360
46,0.07,59132
47,0.07,57584
48,0.07,59216
49,0.06,58992
50,0.07,58472
51,0.09,57836
52,0.09,57652
53,0.08,57832
54,0.08,57852
55,0.08,57860
56,0.07,58348
57,0.07,57340
58,0.07,59256
59,0.06,57580
60,0.06,57968
61,0.06,57468
62,0.09,58984
63,0.09,58732
64,0.07,58348
65,0.07,58876
66,0.07,59372
67,0.07,58348
68,0.06,57832
69,0.07,58704
70,0.06,58996
71,0.06,56432
72,0.06,57836
73,0.07,59132
74,0.06,58736
75,0.06,56696
76,0.08,56956
77,0.06,58860
78,0.06,57716
79,0.06,57844
80,0.07,58608
81,0.07,56564
82,0.07,58364
83,0.08,58492
84,0.09,59112
85,0.09,58092
86,0.09,57604
87,0.08,57988
88,0.07,58284
89,0.07,58620
90,0.07,57200
91,0.08,57460
92,0.08,58364
93,0.07,58236
94,0.08,57468
95,0.06,57724
96,0.07,57816
97,0.09,56944
98,0.07,57976
99,0.07,58868
100,0.07,58620
