Iteración,Tiempo(s),Memoria(KB)
1,0.07,53364
2,0.05,55564
3,0.06,55932
4,0.05,55548
5,0.05,53608
6,0.05,53228
7,0.06,53488
8,0.06,56172
9,0.06,53232
10,0.06,53360
11,0.06,53364
12,0.06,53372
13,0.06,56016
14,0.06,53116
15,0.05,55920
16,0.06,55676
17,0.06,52944
18,0.06,56048
19,0.06,53372
20,0.06,53352
21,0.06,56132
22,0.07,55724
23,0.06,55672
24,0.06,53360
25,0.06,55932
26,0.07,55784
27,0.07,55920
28,0.08,53628
29,0.06,56048
30,0.08,55596
31,0.08,53164
32,0.05,53468
33,0.06,53628
34,0.05,55672
35,0.05,53124
36,0.06,55548
37,0.07,56044
38,0.07,55404
39,0.06,53228
40,0.07,56428
41,0.07,53016
42,0.06,53340
43,0.05,56184
44,0.06,56400
45,0.07,56184
46,0.07,53360
47,0.05,53584
48,0.07,56060
49,0.07,55640
50,0.05,53488
51,0.07,55796
52,0.07,55716
53,0.07,55528
54,0.08,56176
55,0.05,55800
56,0.07,56188
57,0.07,53500
58,0.07,53484
59,0.07,55928
60,0.08,55676
61,0.07,53484
62,0.05,53624
63,0.05,53116
64,0.07,56060
65,0.07,56048
66,0.08,56112
67,0.06,55876
68,0.06,53508
69,0.06,53360
70,0.05,53492
71,0.07,55544
72,0.08,56312
73,0.06,56016
74,0.07,56180
75,0.05,53240
76,0.05,53500
77,0.07,56172
78,0.07,53360
79,0.07,56168
80,0.07,55804
81,0.05,55612
82,0.06,40304
83,0.07,56048
84,0.08,53360
85,0.10,56204
86,0.08,40308
87,0.06,56132
88,0.07,56044
89,0.06,53228
90,0.07,53416
91,0.06,56060
92,0.06,40308
93,0.07,56172
94,0.05,53616
95,0.05,53464
96,0.06,56172
97,0.05,53208
98,0.08,55940
99,0.06,53372
100,0.06,53228
