Iteración,Tiempo(s),Memoria(KB)
1,0.06,56316
2,0.06,56172
3,0.07,56208
4,0.06,56428
5,0.07,55544
6,0.06,53776
7,0.06,55548
8,0.05,56056
9,0.05,54008
10,0.07,56304
11,0.08,56528
12,0.06,56420
13,0.06,56816
14,0.06,56188
15,0.06,55684
16,0.06,56428
17,0.06,53756
18,0.06,56528
19,0.07,56656
20,0.08,55500
21,0.05,53840
22,0.06,56816
23,0.05,55664
24,0.07,56316
25,0.07,55404
26,0.06,56708
27,0.06,53764
28,0.06,56956
29,0.06,56428
30,0.07,56808
31,0.06,55796
32,0.06,57072
33,0.07,56560
34,0.07,55500
35,0.06,56460
36,0.06,55784
37,0.05,55660
38,0.07,56304
39,0.08,56572
40,0.06,56556
41,0.09,55344
42,0.06,56616
43,0.06,56436
44,0.06,56444
45,0.06,56700
46,0.06,56560
47,0.06,56780
48,0.06,56684
49,0.06,56316
50,0.06,55792
51,0.07,56440
52,0.07,56304
53,0.07,56316
54,0.07,56408
55,0.07,53740
56,0.06,55408
57,0.07,56060
58,0.08,56412
59,0.05,55548
60,0.06,56560
61,0.05,53736
62,0.06,53488
63,0.06,56044
64,0.06,56668
65,0.06,56564
66,0.06,56176
67,0.07,56360
68,0.06,56044
69,0.06,56456
70,0.05,53484
71,0.07,56680
72,0.06,55804
73,0.07,56048
74,0.08,55792
75,0.06,54032
76,0.06,56436
77,0.07,56296
78,0.08,56060
79,0.07,55916
80,0.05,53704
81,0.06,55744
82,0.05,54260
83,0.06,55804
84,0.05,53868
85,0.06,56424
86,0.05,55888
87,0.06,55532
88,0.06,55920
89,0.05,53740
90,0.06,55528
91,0.08,56572
92,0.08,53744
93,0.06,53612
94,0.09,56188
95,0.08,56572
96,0.05,56188
97,0.06,56684
98,0.06,56248
99,0.08,53840
100,0.06,56940
