Iteración,Tiempo(s),Memoria(KB)
1,0.06,56316
2,0.06,55796
3,0.06,56068
4,0.06,56316
5,0.07,56304
6,0.08,55660
7,0.06,56300
8,0.05,56312
9,0.10,56716
10,0.06,56132
11,0.07,56188
12,0.05,55656
13,0.06,55280
14,0.05,56316
15,0.08,56076
16,0.08,56652
17,0.07,55792
18,0.06,55676
19,0.07,56700
20,0.07,56556
21,0.06,55804
22,0.06,56812
23,0.06,55404
24,0.07,56432
25,0.08,56316
26,0.06,55636
27,0.06,55796
28,0.08,55796
29,0.06,56172
30,0.05,55640
31,0.05,56304
32,0.07,56688
33,0.06,55804
34,0.05,55276
35,0.06,55672
36,0.06,56176
37,0.05,55800
38,0.07,56180
39,0.08,55408
40,0.08,55660
41,0.08,55800
42,0.06,55536
43,0.05,55536
44,0.06,55932
45,0.07,55424
46,0.07,56560
47,0.05,53236
48,0.06,55792
49,0.05,56180
50,0.06,56312
51,0.07,56048
52,0.07,56108
53,0.05,56436
54,0.07,56316
55,0.09,56460
56,0.05,55656
57,0.05,55676
58,0.06,57072
59,0.06,56168
60,0.07,56140
61,0.08,56068
62,0.07,56316
63,0.05,55928
64,0.05,56176
65,0.05,55756
66,0.07,56812
67,0.08,56304
68,0.08,55804
69,0.07,55412
70,0.06,55788
71,0.06,57072
72,0.07,56160
73,0.09,55920
74,0.08,56364
75,0.06,55924
76,0.06,57072
77,0.08,55724
78,0.07,56316
79,0.06,56428
80,0.07,55656
81,0.07,55384
82,0.07,56060
83,0.08,55420
84,0.07,56040
85,0.07,55676
86,0.06,56316
87,0.08,57104
88,0.06,55416
89,0.07,55548
90,0.07,56680
91,0.08,56828
92,0.05,55676
93,0.06,56296
94,0.06,56316
95,0.05,55696
96,0.06,56656
97,0.06,56144
98,0.07,57032
99,0.08,56188
100,0.09,55932
