Iteración,Tiempo(s),Memoria(KB)
1,0.08,53496
2,0.06,53500
3,0.07,53596
4,0.09,56068
5,0.06,55676
6,0.05,53112
7,0.06,53708
8,0.06,55548
9,0.06,53368
10,0.06,53616
11,0.07,55912
12,0.07,53488
13,0.05,55548
14,0.05,53752
15,0.06,55536
16,0.06,53756
17,0.05,53232
18,0.06,56060
19,0.07,55532
20,0.09,55164
21,0.05,53232
22,0.08,55844
23,0.08,56044
24,0.07,53236
25,0.06,53496
26,0.05,55804
27,0.05,55932
28,0.06,56432
29,0.05,55548
30,0.06,55920
31,0.06,55292
32,0.06,56152
33,0.05,55660
34,0.06,53628
35,0.06,53500
36,0.06,53620
37,0.06,55660
38,0.06,55472
39,0.05,53748
40,0.05,56172
41,0.05,56300
42,0.05,56172
43,0.05,55280
44,0.05,53628
45,0.07,55044
46,0.06,55788
47,0.05,55792
48,0.06,53500
49,0.07,55664
50,0.07,56432
51,0.07,53484
52,0.06,56172
53,0.07,55932
54,0.07,53744
55,0.07,55420
56,0.07,53364
57,0.05,53108
58,0.06,55916
59,0.05,55672
60,0.05,55536
61,0.06,55924
62,0.07,55664
63,0.05,55916
64,0.05,55912
65,0.07,56440
66,0.08,55144
67,0.06,55676
68,0.05,55928
69,0.06,55024
70,0.09,55800
71,0.09,56044
72,0.06,55372
73,0.06,53116
74,0.06,55800
75,0.05,53608
76,0.05,53360
77,0.05,53484
78,0.05,55932
79,0.06,53612
80,0.05,55668
81,0.05,55532
82,0.07,56060
83,0.07,55804
84,0.08,56444
85,0.05,53244
86,0.06,55164
87,0.07,55920
88,0.09,55888
89,0.08,55736
90,0.06,53196
91,0.09,55792
92,0.07,53116
93,0.06,53484
94,0.05,53480
95,0.05,55668
96,0.07,53508
97,0.06,55148
98,0.05,53868
99,0.06,56296
100,0.06,55656
