Iteración,Tiempo(s),Memoria(KB)
1,0.08,57712
2,0.10,58316
3,0.08,58608
4,0.10,58988
5,0.09,57616
6,0.07,58388
7,0.08,59248
8,0.06,58180
9,0.08,58348
10,0.09,57596
11,0.07,58356
12,0.10,58732
13,0.10,58364
14,0.07,58608
15,0.07,57944
16,0.06,57588
17,0.06,59112
18,0.08,58628
19,0.09,57852
20,0.06,56560
21,0.07,58352
22,0.08,59504
23,0.07,58616
24,0.08,58252
25,0.09,58096
26,0.09,58476
27,0.09,59500
28,0.07,58736
29,0.07,57724
30,0.07,58612
31,0.07,57960
32,0.08,58732
33,0.10,58872
34,0.10,58620
35,0.08,57968
36,0.07,58748
37,0.08,59388
38,0.07,58856
39,0.09,57516
40,0.09,58988
41,0.09,58860
42,0.08,57932
43,0.09,58600
44,0.09,58472
45,0.08,57324
46,0.08,58748
47,0.06,58616
48,0.07,58620
49,0.09,58748
50,0.10,57704
51,0.09,58360
52,0.09,58520
53,0.09,58828
54,0.08,58768
55,0.07,58796
56,0.07,58100
57,0.07,57968
58,0.08,58224
59,0.07,57848
60,0.08,58360
61,0.07,58736
62,0.08,58236
63,0.08,58088
64,0.07,57324
65,0.08,58352
66,0.08,59368
67,0.07,57596
68,0.09,58220
69,0.09,58484
70,0.07,57588
71,0.09,58480
72,0.08,58052
73,0.06,58364
74,0.07,58476
75,0.09,57924
76,0.08,58480
77,0.08,58232
78,0.08,58288
79,0.07,56828
80,0.07,57196
81,0.08,57836
82,0.07,58360
83,0.07,57196
84,0.08,57720
85,0.11,57444
86,0.09,58460
87,0.06,57840
88,0.06,58352
89,0.07,58216
90,0.06,59120
91,0.07,58352
92,0.08,57720
93,0.09,58748
94,0.07,57468
95,0.07,56684
96,0.09,57980
97,0.07,58252
98,0.08,58364
99,0.07,58096
100,0.08,57752
